Timestamp,Open,High,Low,Close,Volume,QuoteAssetVolume,NumberOfTrades,TakerBuyBaseVolume,TakerBuyQuoteVolume
2021-01-01 00:00:00,28923.63,29031.34,28690.17,28995.13,2311.811445,66768830.34010008,58389.0,1215.359238,35103542.78288276
2021-01-01 01:00:00,28995.13,29470.0,28960.35,29409.99,5403.068471,158357816.8180572,103896.0,3160.041701,92613991.93555292
2021-01-01 02:00:00,29410.0,29465.26,29120.03,29194.65,2384.23156,69842653.6734203,57646.0,1203.433506,35252749.90832606
2021-01-01 03:00:00,29195.25,29367.0,29150.02,29278.4,1461.345077,42760776.72551646,42510.0,775.915666,22705547.98307977
2021-01-01 04:00:00,29278.41,29395.0,29029.4,29220.31,2038.046803,59614637.30352874,55414.0,1003.342834,29346381.88020654
2021-01-01 05:00:00,29220.31,29235.28,29084.11,29187.01,1469.956262,42864538.70435811,41800.0,679.846742,19827190.29247262
2021-01-01 06:00:00,29187.01,29270.0,29077.32,29174.35,1420.726291,41446013.01819005,46400.0,699.142676,20398322.75992173
2021-01-01 07:00:00,29174.35,29191.98,28806.54,29092.83,2380.180918,69034619.0948994,53158.0,1054.720991,30598457.40248306
2021-01-01 08:00:00,29092.84,29178.03,28872.24,29000.01,2008.165739,58274190.69862189,55012.0,1022.06617,29662447.72598589
2021-01-01 09:00:00,29000.01,29307.73,28970.0,29202.21,2022.056022,59006512.260986,43674.0,1208.477578,35272717.35224266
2021-01-01 10:00:00,29202.21,29344.97,29152.88,29223.82,1944.255841,56881923.87605724,46783.0,1014.538319,29683027.81899852
2021-01-01 11:00:00,29223.82,29402.57,29212.44,29313.49,2309.227717,67680909.41227815,49883.0,1309.012816,38371497.60008983
2021-01-01 12:00:00,29313.49,29600.0,29150.0,29233.49,4191.915161,123253838.2361711,82845.0,2333.306753,68649197.19260734
2021-01-01 13:00:00,29233.49,29470.0,29200.0,29464.79,2211.29829,64952612.17843147,51420.0,1102.4041,32385604.78507834
2021-01-01 14:00:00,29464.79,29530.0,29266.15,29327.84,2612.67217,76824362.53364532,63341.0,1251.808709,36813212.09859227
2021-01-01 15:00:00,29327.83,29391.0,29030.14,29188.67,2779.063894,81232002.48765679,71966.0,1262.580153,36922103.1313425
2021-01-01 16:00:00,29188.67,29360.0,29125.0,29300.57,1490.329484,43610391.87454118,41586.0,774.312477,22657543.68634492
2021-01-01 17:00:00,29300.79,29339.76,28937.0,29079.64,2504.977099,73023440.33533108,58010.0,1019.118051,29715488.816127
2021-01-01 18:00:00,29077.59,29259.98,28624.57,29072.7,4226.430041,122480565.74309263,88856.0,1801.542032,52236804.4235885
2021-01-01 19:00:00,29072.7,29125.32,28950.0,29029.04,1629.228721,47324728.28361069,49038.0,752.045015,21847593.00496335
2021-01-01 20:00:00,29029.04,29279.72,28880.37,29200.96,1838.549082,53590098.13888548,52949.0,960.228963,27992651.84744214
2021-01-01 21:00:00,29200.97,29289.82,29130.0,29160.39,1447.229641,42285361.51600605,34181.0,776.324093,22684651.47220357
2021-01-01 22:00:00,29163.17,29326.74,29104.57,29262.32,1127.035897,32972283.53778708,37533.0,552.485855,16165226.57121833
2021-01-01 23:00:00,29262.32,29338.89,29228.14,29331.69,971.123385,28443882.37070015,28620.0,523.747287,15341792.07335345
2021-01-02 00:00:00,29331.7,29338.59,28946.53,29197.48,2638.159379,76856531.55900288,56787.0,1247.246187,36330827.26651437
2021-01-02 01:00:00,29197.93,29400.0,29100.0,29359.47,1891.997249,55385402.78970417,41136.0,960.492001,28127469.61077394
2021-01-02 02:00:00,29359.46,29469.0,29320.01,29323.82,1704.830137,50111457.7532265,34864.0,919.102507,27018817.34672662
2021-01-02 03:00:00,29323.82,29382.49,29256.85,29351.95,1158.041761,33963115.16512242,33338.0,563.832243,16536321.44525508
2021-01-02 04:00:00,29351.95,29396.0,29220.0,29349.63,988.71107,28985783.95102539,36593.0,513.998514,15069817.6323866
2021-01-02 05:00:00,29349.63,29590.0,29349.63,29589.99,2778.878231,81957934.92152147,48203.0,1889.250154,55722199.46021065
2021-01-02 06:00:00,29589.99,29745.0,29450.0,29709.07,3030.24082,89791157.01909067,61113.0,1919.617281,56884432.27238282
2021-01-02 07:00:00,29709.06,29820.5,29623.31,29750.0,3067.812724,91222945.57779764,56853.0,1999.917145,59479642.41147299
2021-01-02 08:00:00,29751.47,29849.11,29640.0,29844.51,2358.088241,70213292.48882388,55194.0,1185.87901,35308597.74347598
2021-01-02 09:00:00,29844.52,29899.0,29578.05,29612.87,3188.497375,94891130.35379542,63645.0,1490.103384,44368671.01529736
